id;titulo;endereco;taxa;Area;quartos;suites;banheiros;vagas;preco;;;;;
56924318;Lote/Terreno    à Venda, 450m²;Rua Raimundo Chaves - Candelária, Natal - RN;;450;--;--;--;--;R$ 630.000;;;;;
56941346;Apartamento    à Venda, 245m²;Avenida Nilo Peçanha, 289 - Petrópolis, Natal - RN;R$ 1.400;245,--;4;5;3;R$ 1.080.000;;;;;;
56941377;Apartamento com 2 Quartos à Venda, 58m²;Rua João Alves de Melo - Lagoa Nova, Natal - RN;R$ 400;58;2;1;2;1;R$ 260.000;;;;;
56977004;Casa com 2 Quartos à Venda, 171m²;Ponta Negra, Natal - RN;;171;2;1;2;3;R$ 400.000;;;;;
56977009;Apartamento com 3 Quartos à Venda, 98m²;Lagoa Nova, Natal - RN;R$ 525,98;3;2;3;1;R$ 270.000;;;;;;
57087768;Apartamento com 3 Quartos à Venda, 75m²;Rua Teotônio Freire - Ribeira, Natal - RN;;75;3;1;2;2;R$ 270.000;;;;;
57097225;Apartamento com 2 Quartos à Venda, 58m²;Pajuçara, Natal - RN;R$ 163;58;2;--;1;1;R$ 126.000;;;;;
57097252;Imóvel comercial com 4 Quartos à Venda, 330m²;Capim Macio, Natal - RN;;330;4;2;4;6;R$ 1.500.000;;;;;
57097331;Casa com 5 Quartos à Venda, 260m²;Capim Macio, Natal - RN;;260;5;1;4;6;R$ 750.000;;;;;
57097614;Casa com 3 Quartos à Venda, 177m²;Capim Macio, Natal - RN;;177;3;1;3;2;R$ 270.000;;;;;
57108221;Apartamento com 3 Quartos à Venda, 103m²;Rua Jaguarari, 5250 - Candelária, Natal - RN;R$ 370;103;3;2;3;2;R$ 400.000;;;;;
57108236;Apartamento com 4 Quartos à Venda, 150m²;Candelária, Natal - RN;R$ 750;150;4;2;3;3;R$ 750.000;;;;;
57141922;Apartamento com 2 Quartos à Venda, 58m²;Avenida Deodoro da Fonseca - Petrópolis, Natal - RN;R$ 200;58;2;1;2;1;R$ 250.000;;;;;
57186079;Apartamento com 4 Quartos à Venda, 208m²;Avenida Prudente de Morais - Tirol, Natal - RN;R$ 1.100;208;4;3;6;4;R$ 1.350.000;;;;;
57208737;Apartamento com 3 Quartos à Venda, 200m²;Rua Ministro Raimundo de Brito, 1676 - Morro Branco, Natal - RN;R$ 1.300;200;3;1;3;2;R$ 750.000;;;;;
57233892;Apartamento com 3 Quartos à Venda, 112m²;Rua Apodi - Tirol, Natal - RN;R$ 500;112;3;1;3;2;R$ 580.000;;;;;
57257299;Flat com  Quarto à Venda, 48m²;Ponta Negra, Natal - RN;;48;1;1;1;1;R$ 220.000;;;;;
57278839;Apartamento com 2 Quartos à Venda, 60m²;Ponta Negra, Natal - RN;R$ 210;60;2;1;1;1;R$ 280.000;;;;;
57278846;Apartamento com 4 Quartos à Venda, 108m²;Capim Macio, Natal - RN;;108;4;2;1;2;R$ 499.900;;;;;
57278847;Sala/Conjunto com  Quarto à Venda, 480m²;Ponta Negra, Natal - RN;;480;1;--;1;--;R$ 1.600.000;;;;;
57278858;Casa com  Quarto à Venda, 700m²;Ponta Negra, Natal - RN;;700;1;3;1;4;R$ 2.600.000;;;;;
57278865;Apartamento com 2 Quartos à Venda, 82m²;Barro Vermelho, Natal - RN;;82;2;1;1;1;R$ 473.400;;;;;
57278870;Lote/Terreno com  Quarto à Venda, 7000m²;Ponta Negra, Natal - RN;;7000;1;--;1;--;R$ 2.100.000;;;;;
